time (seconds),encoderLeft (meters),encoderRight (meters)
49.001,-0.0005602116580121219,-0.0006239898502826691
49.098,-0.000561351072974503,-0.0006252636667340994
49.202,-0.0005625414778478444,-0.0006265853298828006
49.301,-0.0005637159920297563,-0.0006278906366787851
49.4,-0.000564863090403378,-0.0006291717290878296
49.501,-0.0005660003516823053,-0.0006304402486421168
49.601,-0.0005671822582371533,-0.0006317552179098129
49.7,-0.0005683025810867548,-0.0006330080213956535
49.801,-0.0005694947903975844,-0.0006343288696371019
49.901,-0.0005706488154828548,-0.0006356136873364449
50.001,-0.0005718380562029779,-0.0006369316251948476
50.101,-0.0005729786935262382,-0.0006382038700394332
50.201,-0.0005741385975852609,-0.0006394958472810686
50.302,-0.0005752801080234349,-0.0006407676264643669
50.4,-0.0005764697561971843,-0.0006420925492420793
50.499,-0.0005776387406513095,-0.0006433955859392881
50.6,-0.0005788143607787788,-0.0006447029882110655
50.7,-0.0005799859063699841,-0.0006460059084929526
50.802,-0.0005811071605421603,-0.000647260167170316
50.901,-0.0005822747480124235,-0.0006485587800852954
51.001,-0.0005834252806380391,-0.0006498397560790181
51.093,-0.0005845759296789765,-0.0006511217798106372
51.201,-0.0005857342039234936,-0.0006524104974232614
51.301,-0.0005868572625331581,-0.0006536656874231994
51.4,-0.000588045921176672,-0.0006549832178279757
51.501,-0.0005891869659535587,-0.0006562565686181188
51.601,-0.0005903023411519825,-0.0006575031438842416
51.686,-0.0005914942012168467,-0.0006588264368474483
51.801,-0.000592656375374645,-0.0006601194036193192
51.899,-0.0005937509704381227,-0.0006613460718654096
52.001,-0.0005949359037913382,-0.0006626622634939849
52.101,-0.0005960709531791508,-0.0006639275816269219
52.201,-0.0005972430226393044,-0.0006652308511547744
52.301,-0.0005984149174764752,-0.0006665328983217478
52.401,-0.0005995595129206777,-0.0006678082863800228
52.501,-0.000600733736064285,-0.0006691172602586448
52.601,-0.0006018906133249402,-0.0006704083061777055
52.701,-0.0006030714721418917,-0.0006717179785482585
52.8,-0.0006042130407877266,-0.0006729917949996889
52.9,-0.0006053295801393688,-0.0006742393015883863
52.995,-0.0006065198103897274,-0.0006755612557753921
53.101,-0.0006076428107917309,-0.0006768161547370255
53.201,-0.0006088361842557788,-0.0006781393312849104
53.3,-0.0006099689635448158,-0.0006794047658331692
53.4,-0.0006111057009547949,-0.0006806714809499681
53.501,-0.0006122934282757342,-0.0006819890113547444
53.601,-0.0006134419818408787,-0.0006832708604633808
53.704,-0.0006146347732283175,-0.0006845952593721449
53.801,-0.0006158043397590518,-0.0006858969572931528
53.901,-0.0006169552798382938,-0.0006871788646094501
54,-0.0006181055796332657,-0.0006884599570184946
54.1,-0.000619264435954392,-0.0006897535058669746
54.201,-0.0006204475648701191,-0.000691065622959286
54.294,-0.000621560902800411,-0.0006923101609572768
54.401,-0.000622762949205935,-0.0006936427671462297
54.5,-0.0006239361246116459,-0.0006949476664885879
54.6,-0.000625085667707026,-0.0006962277693673968
54.699,-0.000626272230874747,-0.0006975443102419376
54.802,-0.0006274399347603321,-0.0006988454842939973
54.9,-0.0006286139250732958,-0.0007001511403359473
55.001,-0.0006297665531747043,-0.0007014342118054628
55.1,-0.0006309048621915281,-0.0007027072133496404
55.202,-0.0006320996326394379,-0.0007040307973511517
55.296,-0.0006332577322609723,-0.0007053195731714368
55.401,-0.0006344205467030406,-0.0007066127145662904
55.501,-0.0006355931982398033,-0.0007079184870235622
55.602,-0.0006367358146235347,-0.0007091963198035955
55.701,-0.0006378852995112538,-0.0007104782271198928
55.802,-0.0006390612106770277,-0.0007117850473150611
55.901,-0.0006402467843145132,-0.0007131030433811247
56,-0.0006414288654923439,-0.0007144167902879417
56.099,-0.0006425530300475657,-0.0007156723877415061
56.201,-0.0006436826079152524,-0.0007169341552071273
56.301,-0.0006448639906011522,-0.0007182444096542895
56.402,-0.0006459826254285872,-0.0007194962236098945
56.5,-0.0006471766391769052,-0.0007208188762888312
56.601,-0.0006483370088972151,-0.0007221106789074838
56.701,-0.00064945308258757,-0.0007233580690808594
56.801,-0.0006506646168418229,-0.0007247015018947423
56.897,-0.0006517909350804985,-0.0007259605918079615
57.001,-0.0006529568927362561,-0.0007272596121765673
57.1,-0.0006541552138514817,-0.0007285871542990208
57.198,-0.000655308656860143,-0.0007298734271898866
57.3,0.0016908736433833838,-0.0030794229824095964
57.401,0.0040388694033026695,-0.005430925637483597
57.501,0.006386913824826479,-0.007782396394759417
57.601,0.008734917268157005,-0.010133889503777027
57.699,0.011082964949309826,-0.012485373765230179
57.8,0.013430966064333916,-0.014836873859167099
57.897,0.015778984874486923,-0.017188338562846184
58.002,0.018127011135220528,-0.019539842382073402
58.102,0.020475061610341072,-0.021891320124268532
58.206,0.022823039442300797,-0.024242816492915154
58.301,0.025171097368001938,-0.02659427374601364
58.401,0.027519140392541885,-0.028945742174983025
58.502,0.029867175966501236,-0.0312972366809845
58.601,0.0322151705622673,-0.03364873304963112
58.701,0.03456318750977516,-0.03600025177001953
58.803,0.03691117838025093,-0.03835172578692436
58.9,0.03925924748182297,-0.04070316627621651
58.999,0.041607219725847244,-0.04305467754602432
59.101,0.04395527392625809,-0.045406173914670944
59.2,0.04630328714847565,-0.04775765538215637
59.301,0.04865133762359619,-0.05010908842086792
59.401,0.05099936202168465,-0.052460599690675735
59.501,0.053347397595644,-0.054812055081129074
59.601,0.05569539964199066,-0.05716357380151749
59.701,0.05804344639182091,-0.05951501429080963
59.802,0.06039144843816757,-0.061866503208875656
59.901,0.06273948401212692,-0.06421798467636108
60.005,0.06508749723434448,-0.06656946241855621
60.101,0.06743554770946503,-0.06892095506191254
60.2,0.06978357583284378,-0.07127243280410767
60.301,0.07213163375854492,-0.07362385839223862
60.401,0.07447963953018188,-0.07597536593675613
60.501,0.07682764530181885,-0.07832685112953186
60.601,0.07917570322751999,-0.08067833632230759
60.7,0.08152368664741516,-0.08302981406450272
60.785,0.0838717594742775,-0.08538126200437546
60.901,0.08621980249881744,-0.0877327173948288
61.001,0.08856786787509918,-0.09008418023586273
61.101,0.09091589599847794,-0.09243564307689667
61.2,0.09326398372650146,-0.09478709101676941
61.298,0.09561195969581604,-0.09713860601186752
61.401,0.09796003997325897,-0.09949003159999847
61.501,0.10030807554721832,-0.1018415242433548
61.601,0.10265613347291946,-0.10419300198554993
61.701,0.10500415414571762,-0.10654445737600327
61.8,0.10735218226909637,-0.10889594256877899
61.899,0.10970020294189453,-0.11124742776155472
62.001,0.1120482087135315,-0.11359891295433044
62.101,0.11439628899097443,-0.11595036834478378
62.201,0.11674429476261139,-0.11830185353755951
62.301,0.11909236013889313,-0.12065329402685165
62.403,0.1214403584599495,-0.12300478667020798
62.5,0.12378836423158646,-0.1253562718629837
62.601,0.1261364221572876,-0.12770771980285645
62.703,0.12848442792892456,-0.13005921244621277
62.801,0.1780182123184204,-0.08067598938941956
62.902,0.22801649570465088,-0.03067854419350624
63,0.2780146300792694,0.01931905373930931
63.101,0.32801273465156555,0.06931666284799576
63.201,0.3780108392238617,0.1193142831325531
63.301,0.42800894379615784,0.16931191086769104
63.401,0.4780070185661316,0.21930955350399017
63.501,0.5280051231384277,0.2693071961402893
63.601,0.5780031681060791,0.31930485367774963
63.701,0.6280012130737305,0.36930251121520996
63.801,0.6779992580413818,0.4193001687526703
63.901,0.7279973030090332,0.4692978262901306
64.001,0.7779953479766846,0.5192955136299133
64.098,0.8279933929443359,0.569293200969696
64.201,0.8779914379119873,0.6192910075187683
64.299,0.9279894828796387,0.6692888140678406
64.404,0.9779874682426453,0.7192866802215576
64.502,1.0279854536056519,0.7692844867706299
64.603,1.0779833793640137,0.8192822933197021
64.702,1.127981424331665,0.8692801594734192
64.801,1.1779793500900269,0.9192780256271362
64.901,1.2279773950576782,0.9692758321762085
65.001,1.27797532081604,1.0192737579345703
65.101,1.3279732465744019,1.0692715644836426
65.202,1.3779712915420532,1.1192694902420044
65.291,1.427969217300415,1.1692672967910767
65.397,1.4779672622680664,1.219265103340149
65.501,1.5279651880264282,1.2692629098892212
65.6,1.5779632329940796,1.319260835647583
65.701,1.627961277961731,1.3692586421966553
65.801,1.6779592037200928,1.419256567955017
65.9,1.7279572486877441,1.4692543745040894
66,1.777955174446106,1.5192523002624512
66.101,1.8279532194137573,1.5692501068115234
66.201,1.8779511451721191,1.6192480325698853
66.301,1.9279491901397705,1.6692458391189575
66.402,1.9779471158981323,1.7192437648773193
66.501,2.0279452800750732,1.7692415714263916
66.6,2.0779430866241455,1.8192393779754639
66.679,2.0784032344818115,1.819704532623291
66.801,2.078402042388916,1.8197033405303955
66.901,2.0784008502960205,1.819701910018921
67.001,2.078399658203125,1.8197005987167358
67.101,2.0783984661102295,1.8196992874145508
67.201,2.078397274017334,1.8196978569030762
67.3,2.0783960819244385,1.8196965456008911
67.401,2.078394889831543,1.819695234298706
67.501,2.0783936977386475,1.819693922996521
67.601,2.078392505645752,1.819692611694336
67.701,2.0783913135528564,1.8196914196014404
67.809,2.078390121459961,1.8196901082992554
67.898,2.0783889293670654,1.8196887969970703
68.001,2.07838773727417,1.8196874856948853
68.104,2.0783865451812744,1.8196861743927002
68.199,2.078385353088379,1.8196848630905151
68.301,2.0783841609954834,1.81968355178833
68.401,2.078383207321167,1.819682240486145
68.501,2.0783820152282715,1.81968092918396
68.6,2.078380823135376,1.819679617881775
68.701,2.0783796310424805,1.8196783065795898
68.801,2.078378438949585,1.8196769952774048
68.901,2.0783772468566895,1.8196756839752197
69.001,2.078376054763794,1.8196744918823242
69.1,2.0783748626708984,1.8196731805801392
69.201,2.078373908996582,1.819671869277954
69.301,2.0783727169036865,1.819670557975769
69.401,2.078371524810791,1.819669246673584
69.501,2.0783703327178955,1.819667935371399
69.602,2.078369140625,1.8196666240692139
69.701,2.0783679485321045,1.8196654319763184
69.8,2.078366756439209,1.8196641206741333
69.901,2.0783655643463135,1.8196628093719482
70.001,2.078364372253418,1.8196614980697632
70.101,2.0783631801605225,1.8196601867675781
70.191,2.078362226486206,1.8196589946746826
70.301,2.0783610343933105,1.8196576833724976
70.402,2.078359842300415,1.8196563720703125
70.501,2.0783586502075195,1.8196550607681274
70.6,2.078357458114624,1.8196537494659424
70.701,2.0783562660217285,1.8196524381637573
70.801,2.078355073928833,1.8196511268615723
70.901,2.0783538818359375,1.8196498155593872
71.001,2.078352689743042,1.8196485042572021
71.102,2.0783517360687256,1.8196473121643066
71.2,2.07835054397583,1.819645881652832
71.301,2.0783493518829346,1.819644570350647
71.401,2.078348159790039,1.8196433782577515
71.501,2.0783469676971436,1.8196420669555664
71.601,2.078345775604248,1.8196407556533813
71.701,2.0783445835113525,1.8196394443511963
71.804,2.078343391418457,1.8196381330490112
71.901,2.0783424377441406,1.8196368217468262
72,2.078341245651245,1.8196355104446411
72.101,2.0783400535583496,1.8196343183517456
72.201,2.078338861465454,1.8196330070495605
72.301,2.0783376693725586,1.8196316957473755
72.401,2.078336477279663,1.8196303844451904
72.499,2.0783352851867676,1.8196290731430054
72.601,2.078334093093872,1.8196277618408203
72.701,2.0783331394195557,1.8196265697479248
72.801,2.07833194732666,1.8196252584457397
72.901,2.0783307552337646,1.8196239471435547
73.001,2.078329563140869,1.8196226358413696
73.096,2.0783283710479736,1.8196213245391846
73.201,2.078327178955078,1.8196200132369995
73.301,2.0783259868621826,1.8196187019348145
73.401,2.078324794769287,1.8196173906326294
73.501,2.0783236026763916,1.8196160793304443
73.602,2.078322410583496,1.8196147680282593
73.701,2.0783214569091797,1.8196135759353638
73.798,2.078320264816284,1.8196122646331787
73.901,2.0783190727233887,1.8196109533309937
74.001,2.078317880630493,1.8196096420288086
74.101,2.0783166885375977,1.8196083307266235
74.203,2.078315496444702,1.8196070194244385
74.29,2.0783143043518066,1.8196057081222534
74.401,2.078313112258911,1.8196043968200684
74.501,2.0783119201660156,1.8196030855178833
74.6,2.07831072807312,1.8196018934249878
74.691,2.0783095359802246,1.8196004629135132
74.801,2.078308343887329,1.8195991516113281
74.901,2.0783071517944336,1.819597840309143
75.001,2.078305959701538,1.819596529006958
75.1,2.0783050060272217,1.8195953369140625
75.197,2.078303813934326,1.8195940256118774
75.301,2.0783026218414307,1.8195927143096924
75.401,2.078301429748535,1.8195914030075073
75.5,2.0783002376556396,1.8195900917053223
75.6,2.078299045562744,1.8195887804031372
75.701,2.0782978534698486,1.8195874691009521
75.795,2.078296661376953,1.819586157798767
75.899,2.0782954692840576,1.8195849657058716
76.001,2.078294515609741,1.8195836544036865
76.101,2.0782930850982666,1.819582223892212
76.201,2.07829213142395,1.8195810317993164
76.301,2.0782909393310547,1.8195796012878418
76.4,2.078289747238159,1.8195784091949463
76.5,2.0782885551452637,1.8195770978927612
76.601,2.078287363052368,1.8195757865905762
76.701,2.0782861709594727,1.8195744752883911
76.794,2.078284978866577,1.819573163986206
76.901,2.0782837867736816,1.819571852684021
77.001,2.078282594680786,1.819570541381836
77.101,2.0782814025878906,1.8195692300796509
77.199,2.078280210494995,1.8195679187774658
77.301,2.0782792568206787,1.8195666074752808
77.396,2.078278064727783,1.8195652961730957
77.502,2.0782768726348877,1.8195641040802002
77.602,2.078275680541992,1.8195627927780151
77.701,2.0782744884490967,1.81956148147583
77.801,2.078273296356201,1.819560170173645
77.897,2.0782721042633057,1.81955885887146
78,2.07827091217041,1.819557547569275
78.101,2.0782697200775146,1.8195562362670898
78.2,2.078268527984619,1.8195549249649048
78.301,2.0782675743103027,1.8195536136627197
78.401,2.0782663822174072,1.8195523023605347
78.5,2.0782651901245117,1.8195509910583496
78.601,2.078263998031616,1.8195496797561646
78.701,2.0782628059387207,1.819548487663269
78.801,2.078261613845825,1.819547176361084
78.901,2.0782604217529297,1.819545865058899
79.001,2.078259229660034,1.8195445537567139
79.101,2.0782580375671387,1.8195432424545288
79.201,2.078256845474243,1.8195419311523438
79.3,2.0782558917999268,1.8195407390594482
79.398,2.0782546997070312,1.8195394277572632
79.5,2.0806009769439697,1.8171898126602173
79.601,2.082948923110962,1.8148382902145386
79.699,2.085296869277954,1.8124867677688599
79.799,2.0876450538635254,1.8101353645324707
79.901,2.0899930000305176,1.807783842086792
80.001,2.0923409461975098,1.8054324388504028
80.101,2.094689130783081,1.8030809164047241
